,indice,caracterisation,indicatif_present_1s,indicatif_present_1s_audio,indicatif_present_2s,indicatif_present_2s_audio,indicatif_present_3s,indicatif_present_3s_audio,indicatif_present_1p,indicatif_present_1p_audio,indicatif_present_2p,indicatif_present_2p_audio,indicatif_present_3p,indicatif_present_3p_audio,indicatif_passe_compose_1s,indicatif_passe_compose_1s_audio,indicatif_passe_compose_2s,indicatif_passe_compose_2s_audio,indicatif_passe_compose_3s,indicatif_passe_compose_3s_audio,indicatif_passe_compose_1p,indicatif_passe_compose_1p_audio,indicatif_passe_compose_2p,indicatif_passe_compose_2p_audio,indicatif_passe_compose_3p,indicatif_passe_compose_3p_audio,indicatif_imparfait_1s,indicatif_imparfait_1s_audio,indicatif_imparfait_2s,indicatif_imparfait_2s_audio,indicatif_imparfait_3s,indicatif_imparfait_3s_audio,indicatif_imparfait_1p,indicatif_imparfait_1p_audio,indicatif_imparfait_2p,indicatif_imparfait_2p_audio,indicatif_imparfait_3p,indicatif_imparfait_3p_audio,indicatif_plus_que_parfait_1s,indicatif_plus_que_parfait_1s_audio,indicatif_plus_que_parfait_2s,indicatif_plus_que_parfait_2s_audio,indicatif_plus_que_parfait_3s,indicatif_plus_que_parfait_3s_audio,indicatif_plus_que_parfait_1p,indicatif_plus_que_parfait_1p_audio,indicatif_plus_que_parfait_2p,indicatif_plus_que_parfait_2p_audio,indicatif_plus_que_parfait_3p,indicatif_plus_que_parfait_3p_audio,indicatif_passe_simple_1s,indicatif_passe_simple_1s_audio,indicatif_passe_simple_2s,indicatif_passe_simple_2s_audio,indicatif_passe_simple_3s,indicatif_passe_simple_3s_audio,indicatif_passe_simple_1p,indicatif_passe_simple_1p_audio,indicatif_passe_simple_2p,indicatif_passe_simple_2p_audio,indicatif_passe_simple_3p,indicatif_passe_simple_3p_audio,indicatif_passe_anterieur_1s,indicatif_passe_anterieur_1s_audio,indicatif_passe_anterieur_2s,indicatif_passe_anterieur_2s_audio,indicatif_passe_anterieur_3s,indicatif_passe_anterieur_3s_audio,indicatif_passe_anterieur_1p,indicatif_passe_anterieur_1p_audio,indicatif_passe_anterieur_2p,indicatif_passe_anterieur_2p_audio,indicatif_passe_anterieur_3p,indicatif_passe_anterieur_3p_audio,indicatif_futur_simple_1s,indicatif_futur_simple_1s_audio,indicatif_futur_simple_2s,indicatif_futur_simple_2s_audio,indicatif_futur_simple_3s,indicatif_futur_simple_3s_audio,indicatif_futur_simple_1p,indicatif_futur_simple_1p_audio,indicatif_futur_simple_2p,indicatif_futur_simple_2p_audio,indicatif_futur_simple_3p,indicatif_futur_simple_3p_audio,indicatif_futur_anterieur_1s,indicatif_futur_anterieur_1s_audio,indicatif_futur_anterieur_2s,indicatif_futur_anterieur_2s_audio,indicatif_futur_anterieur_3s,indicatif_futur_anterieur_3s_audio,indicatif_futur_anterieur_1p,indicatif_futur_anterieur_1p_audio,indicatif_futur_anterieur_2p,indicatif_futur_anterieur_2p_audio,indicatif_futur_anterieur_3p,indicatif_futur_anterieur_3p_audio,conditionnel_present_1s,conditionnel_present_1s_audio,conditionnel_present_2s,conditionnel_present_2s_audio,conditionnel_present_3s,conditionnel_present_3s_audio,conditionnel_present_1p,conditionnel_present_1p_audio,conditionnel_present_2p,conditionnel_present_2p_audio,conditionnel_present_3p,conditionnel_present_3p_audio,conditionnel_passe_1s,conditionnel_passe_1s_audio,conditionnel_passe_2s,conditionnel_passe_2s_audio,conditionnel_passe_3s,conditionnel_passe_3s_audio,conditionnel_passe_1p,conditionnel_passe_1p_audio,conditionnel_passe_2p,conditionnel_passe_2p_audio,conditionnel_passe_3p,conditionnel_passe_3p_audio,subjonctif_present_1s,subjonctif_present_1s_audio,subjonctif_present_2s,subjonctif_present_2s_audio,subjonctif_present_3s,subjonctif_present_3s_audio,subjonctif_present_1p,subjonctif_present_1p_audio,subjonctif_present_2p,subjonctif_present_2p_audio,subjonctif_present_3p,subjonctif_present_3p_audio,subjonctif_passe_1s,subjonctif_passe_1s_audio,subjonctif_passe_2s,subjonctif_passe_2s_audio,subjonctif_passe_3s,subjonctif_passe_3s_audio,subjonctif_passe_1p,subjonctif_passe_1p_audio,subjonctif_passe_2p,subjonctif_passe_2p_audio,subjonctif_passe_3p,subjonctif_passe_3p_audio,subjonctif_imparfait_1s,subjonctif_imparfait_1s_audio,subjonctif_imparfait_2s,subjonctif_imparfait_2s_audio,subjonctif_imparfait_3s,subjonctif_imparfait_3s_audio,subjonctif_imparfait_1p,subjonctif_imparfait_1p_audio,subjonctif_imparfait_2p,subjonctif_imparfait_2p_audio,subjonctif_imparfait_3p,subjonctif_imparfait_3p_audio,subjonctif_plus_que_parfait_1s,subjonctif_plus_que_parfait_1s_audio,subjonctif_plus_que_parfait_2s,subjonctif_plus_que_parfait_2s_audio,subjonctif_plus_que_parfait_3s,subjonctif_plus_que_parfait_3s_audio,subjonctif_plus_que_parfait_1p,subjonctif_plus_que_parfait_1p_audio,subjonctif_plus_que_parfait_2p,subjonctif_plus_que_parfait_2p_audio,subjonctif_plus_que_parfait_3p,subjonctif_plus_que_parfait_3p_audio,imperatif_present_2s,imperatif_present_2s_audio,imperatif_present_1p,imperatif_present_1p_audio,imperatif_present_2p,imperatif_present_2p_audio,imperatif_passe_2s,imperatif_passe_2s_audio,imperatif_passe_1p,imperatif_passe_1p_audio,imperatif_passe_2p,imperatif_passe_2p_audio,infinitif_present,infinitif_present_audio,infinitif_passe,infinitif_passe_audio,participe_present,participe_present_audio,participe_passe,participe_passe_audio,participe_passe_compose,participe_passe_compose_audio,notes,labels
être,1,,je suis,,tu es,,il/elle est,,nous sommes,,vous êtes,,ils/elles sont,,j’ai été,,tu as été,,il/elle a été,,nous avons été,,vous avez été,,ils/elles ont été,,j’étais,,tu étais,,il/elle était,,nous étions,,vous étiez,,ils/elles étaient,,j’avais été,,tu avais été,,il/elle avait été,,nous avions été,,vous aviez été,,ils/elles avaient été,,je fus,,tu fus,,il/elle fut,,nous fûmes,,vous fûtes,,ils/elles furent,,j’eus été,,tu eus été,,il/elle eut été,,nous eûmes été,,vous eûtes été,,ils/elles eurent été,,je serai,,tu seras,,il/elle sera,,nous serons,,vous serez,,ils/elles seront,,j’aurai été,,tu auras été,,il/elle aura été,,nous aurons été,,vous aurez été,,ils/elles auront été,,je serais,,tu serais,,il/elle serait,,nous serions,,vous seriez,,ils/elles seraient,,j’aurais été,,tu aurais été,,il/elle aurait été,,nous aurions été,,vous auriez été,,ils/elles auraient été,,que je sois,,que tu sois,,qu’il/elle soit,,que nous soyons,,que vous soyez,,qu’ils/elles soient,,que j’aie été,,que tu aies été,,qu’il/elle ait été,,que nous ayons été,,que vous ayez été,,qu’ils/elles aient été,,que je fusse,,que tu fusses,,qu’il/elle fût,,que nous fussions,,que vous fussiez,,qu’ils/elles fussent,,que j’eusse été,,que tu eusses été,,qu’il/elle eût été,,que nous eussions été,,que vous eussiez été,,qu’ils/elles eussent été,,sois,,soyons,,soyez,,aie été,,ayons été,,ayez été,,être,,avoir été,,étant,,été,,ayant été,,,I_intransitif
avoir,2,,j’ai,,tu as,,il/elle a,,nous avons,,vous avez,,ils/elles ont,,j’ai eu,,tu as eu,,il/elle a eu,,nous avons eu,,vous avez eu,,ils/elles ont eu,,j’avais,,tu avais,,il/elle avait,,nous avions,,vous aviez,,ils/elles avaient,,j’avais eu,,tu avais eu,,il/elle avait eu,,nous avions eu,,vous aviez eu,,ils/elles avaient eu,,j’eus,,tu eus,,il/elle eut,,nous eûmes,,vous eûtes,,ils/elles eurent,,j’eus eu,,tu eus eu,,il/elle eut eu,,nous eûmes eu,,vous eûtes eu,,ils/elles eurent eu,,j’aurai,,tu auras,,il/elle aura,,nous aurons,,vous aurez,,ils/elles auront,,j’aurai eu,,tu auras eu,,il/elle aura eu,,nous aurons eu,,vous aurez eu,,ils/elles auront eu,,j’aurais,,tu aurais,,il/elle aurait,,nous aurions,,vous auriez,,ils/elles auraient,,j’aurais eu,,tu aurais eu,,il/elle aurait eu,,nous aurions eu,,vous auriez eu,,ils/elles auraient eu,,que j’aie,,que tu aies,,qu’il/elle ait,,que nous ayons,,que vous ayez,,qu’ils/elles aient,,que j’aie eu,,que tu aies eu,,qu’il/elle ait eu,,que nous ayons eu,,que vous ayez eu,,qu’ils/elles aient eu,,que j’eusse,,que tu eusses,,qu’il/elle eût,,que nous eussions,,que vous eussiez,,qu’ils/elles eussent,,que j’eusse eu,,que tu eusses eu,,qu’il/elle eût eu,,que nous eussions eu,,que vous eussiez eu,,qu’ils/elles eussent eu,,aie,,ayons,,ayez,,aie eu,,ayons eu,,ayez eu,,avoir,,avoir eu,,ayant,,"eu(e, s, es)",,ayant eu,,,T_transitif_direct
aimer,3,1er groupe,j’aime,,tu aimes,,il/elle aime,,nous aimons,,vous aimez,,ils/elles aiment,,j’ai aimé,,tu as aimé,,il/elle a aimé,,nous avons aimé,,vous avez aimé,,ils/elles ont aimé,,j’aimais,,tu aimais,,il/elle aimait,,nous aimions,,vous aimiez,,ils/elles aimaient,,j’avais aimé,,tu avais aimé,,il/elle avait aimé,,nous avions aimé,,vous aviez aimé,,ils/elles avaient aimé,,j’aimai,,tu aimas,,il/elle aima,,nous aimâmes,,vous aimâtes,,ils/elles aimèrent,,j’eus aimé,,tu eus aimé,,il/elle eut aimé,,nous eûmes aimé,,vous eûtes aimé,,ils/elles eurent aimé,,j’aimerai,,tu aimeras,,il/elle aimera,,nous aimerons,,vous aimerez,,ils/elles aimeront,,j’aurai aimé,,tu auras aimé,,il/elle aura aimé,,nous aurons aimé,,vous aurez aimé,,ils/elles auront aimé,,j’aimerais,,tu aimerais,,il/elle aimerait,,nous aimerions,,vous aimeriez,,ils/elles aimeraient,,j’aurais aimé,,tu aurais aimé,,il/elle aurait aimé,,nous aurions aimé,,vous auriez aimé,,ils/elles auraient aimé,,que j’aime,,que tu aimes,,qu’il/elle aime,,que nous aimions,,que vous aimiez,,qu’ils/elles aiment,,que j’aie aimé,,que tu aies aimé,,qu’il/elle ait aimé,,que nous ayons aimé,,que vous ayez aimé,,qu’ils/elles aient aimé,,que j’aimasse,,que tu aimasses,,qu’il/elle aimât,,que nous aimassions,,que vous aimassiez,,qu’ils/elles aimassent,,que j’eusse aimé,,que tu eusses aimé,,qu’il/elle eût aimé,,que nous eussions aimé,,que vous eussiez aimé,,qu’ils/elles eussent aimé,,aime,,aimons,,aimez,,aie aimé,,ayons aimé,,ayez aimé,,aimer,,avoir aimé,,aimant,,"aimé(e, s, es)",,ayant aimé,,,T_transitif_direct P_forme_pronominale
être aimé,4,,je suis aimé(e),,tu es aimé(e),,il/elle est aimé(e),,nous sommes aimé(e)s,,vous êtes aimé(e)s,,ils/elles sont aimé(e)s,,j’ai été aimé(e),,tu as été aimé(e),,il/elle a été aimé(e),,nous avons été aimé(e)s,,vous avez été aimé(e)s,,ils/elles ont été aimé(e)s,,j’étais aimé(e),,tu étais aimé(e),,il/elle était aimé(e),,nous étions aimé(e)s,,vous étiez aimé(e)s,,ils/elles étaient aimé(e)s,,j’avais été aimé(e),,tu avais été aimé(e),,il/elle avait été aimé(e),,nous avions été aimé(e)s,,vous aviez été aimé(e)s,,ils/elles avaient été aimé(e)s,,je fus aimé(e),,tu fus aimé(e),,il/elle fut aimé(e),,nous fûmes aimé(e)s,,vous fûtes aimé(e)s,,ils/elles furent aimé(e)s,,j’eus été aimé(e),,tu eus été aimé(e),,il/elle eut été aimé(e),,nous eûmes été aimé(e)s,,vous eûtes été aimé(e)s,,ils/elles eurent été aimé(e)s,,je serai aimé(e),,tu seras aimé(e),,il/elle sera aimé(e),,nous serons aimé(e)s,,vous serez aimé(e)s,,ils/elles seront aimé(e)s,,j’aurai été aimé(e),,tu auras été aimé(e),,il/elle aura été aimé(e),,nous aurons été aimé(e)s,,vous aurez été aimé(e)s,,ils/elles auront été aimé(e)s,,je serais aimé(e),,tu serais aimé(e),,il/elle serait aimé(e),,nous serions aimé(e)s,,vous seriez aimé(e)s,,ils/elles seraientaimé(e)s,,j’aurais été aimé(e),,tu aurais été aimé(e),,il/elle aurait été aimé(e),,nous aurions été aimé(e)s,,vous auriez été aimé(e)s,,ils/elles auraientétéaimé(e)s,,que je sois aimé(e),,que tu sois aimé(e),,qu’il/elle soit aimé(e),,que nous soyons aimé(e)s,,que vous soyez aimé(e)s,,qu’ils/elles soient aimé(e)s,,que j’aie été aimé(e),,que tu aies été aimé(e),,qu’il/elle ait été aimé(e),,que nous ayons été aimé(e)s,,que vous ayez été aimé(e)s,,qu’ils/elles aient été aimé(e)s,,que je fusse aimé(e),,que tu fusses aimé(e),,qu’il/elle fût aimé(e),,que nous fussions aimé(e)s,,que vous fussiez aimé(e)s,,qu’ils/elles fussent aimé(e)s,,que j’eusse été aimé(e),,que tu eusses été aimé(e),,qu’il/elle eût été aimé(e),,que nous eussions été aimé(e)s,,que vous eussiez été aimé(e)s,,qu’ils/elles eussentétéaimé(e)s,,sois aimé(e),,soyons aimé(e)s,,soyez aimé(e)s,,.,,.,,.,,"être aimé(e, s, es)",,"avoir été aimé(e, s, es)",,"étant aimé(e, s, es)",,"ayant été aimé(e, s, es)",,,,,
s’aimer,5,,je m’aime,,tu t’aimes,,il/elle s’aime,,nous nous aimons,,vous vous aimez,,ils/elles s’aiment,,je me suis aimé(e),,tu t’es aimé(e),,il/elle s’est aimé(e),,n. nous sommes aimé(e)s,,v. vous êtes aimé(e)s,,ils/elles se sont aimé(e)s,,je m’aimais,,tu t’aimais,,il/elle s’aimait,,nous nous aimions,,vous vous aimiez,,ils/elles s’aimaient,,je m’étais aimé(e),,tu t’étais aimé(e),,il/elle s’était aimé(e),,n. nous étions aimé(e)s,,v. vous étiez aimé(e)s,,ils/elles s’étaient aimé(e)s,,je m’aimai,,tu t’aimas,,il/elle s’aima,,nous nous aimâmes,,vous vous aimâtes,,ils/elles s’aimèrent,,je me fus aimé(e),,tu te fus aimé(e),,il/elle se fut aimé(e),,n. nous fûmes aimé(e)s,,v. vous fûtes aimé(e)s,,ils/elles se furent aimé(e)s,,je m’aimerai,,tu t’aimeras,,il/elle s’aimera,,nous nous aimerons,,vous vous aimerez,,ils/elles s’aimeront,,je me serai aimé(e),,tu te seras aimé(e),,il/elle se sera aimé(e),,n. nous serons aimé(e)s,,v. vous serez aimé(e)s,,ils/elles se seront aimé(e)s,,je m’aimerais,,tu t’aimerais,,il/elle s’aimerait,,nous nous aimerions,,vous vous aimeriez,,ils/elles s’aimeraient,,je me serais aimé(e),,tu te serais aimé(e),,il/elle se serait aimé(e),,n. nous serions aimé(e)s,,v. vous seriez aimé(e)s,,ils/elles se seraient aimé(e)s,,que je m’aime,,que tu t’aimes,,qu’il/elle s’aime,,que n. nous aimions,,que v. vous aimiez,,qu’ils/elles s’aiment,,que je me sois aimé(e),,que tu te sois aimé(e),,qu’il/elle se soit aimé(e),,que n. nous soyons aimé(e)s,,que v. vous soyez aimé(e)s,,qu’ils/elles se soient aimé(e)s,,que je m’aimasse,,que tu t’aimasses,,qu’il/elle s’aimât,,que n. nous aimassions,,que v. vous aimassiez,,qu’ils/elles s’aimassent,,que je me fusse aimé(e),,que tu te fusses aimé(e),,qu’il/elle se fût aimé(e),,que n. nous fussions aimé(e)s,,que v. vous fussiez aimé(e)s,,qu’ils/elles se fussent aimé(e)s,,aime-toi,,aimons-nous,,aimez-vous,,.,,.,,.,,s’aimer,,"s’être aimé(e, s, es)",,s’aimant,,"s’étant aimé(e, s, es)",,,,,
jouer,6,1er groupe,je joue,,tu joues,,il/elle joue,,nous jouons,,vous jouez,,ils/elles jouent,,j’ai joué,,tu as joué,,il/elle a joué,,nous avons joué,,vous avez joué,,ils/elles ont joué,,je jouais,,tu jouais,,il/elle jouait,,nous jouions,,vous jouiez,,ils/elles jouaient,,j’avais joué,,tu avais joué,,il/elle avait joué,,nous avions joué,,vous aviez joué,,ils/elles avaient joué,,je jouai,,tu jouas,,il/elle joua,,nous jouâmes,,vous jouâtes,,ils/elles jouèrent,,j’eus joué,,tu eus joué,,il/elle eut joué,,nous eûmes joué,,vous eûtes joué,,ils/elles eurent joué,,je jouerai,,tu joueras,,il/elle jouera,,nous jouerons,,vous jouerez,,ils/elles joueront,,j’aurai joué,,tu auras joué,,il/elle aura joué,,nous aurons joué,,vous aurez joué,,ils/elles auront joué,,je jouerais,,tu jouerais,,il/elle jouerait,,nous jouerions,,vous joueriez,,ils/elles joueraient,,j’aurais joué,,tu aurais joué,,il/elle aurait joué,,nous aurions joué,,vous auriez joué,,ils/elles auraient joué,,que je joue,,que tu joues,,qu’il/elle joue,,que nous jouions,,que vous jouiez,,qu’ils/elles jouent,,que j’aie joué,,que tu aies joué,,qu’il/elle ait joué,,que nous ayons joué,,que vous ayez joué,,qu’ils/elles aient joué,,que je jouasse,,que tu jouasses,,qu’il/elle jouât,,que nous jouassions,,que vous jouassiez,,qu’ils/elles jouassent,,que j’eusse joué,,que tu eusses joué,,qu’il/elle eût joué,,que nous eussions joué,,que vous eussiez joué,,qu’ils/elles eussent joué,,joue,,jouons,,jouez,,aie joué,,ayons joué,,ayez joué,,jouer,,avoir joué,,jouant,,"joué(e, s, es)",,ayant joué,,,I_intransitif T_transitif_direct P_forme_pronominale
saluer,7,1er groupe,je salue,,tu salues,,il/elle salue,,nous saluons,,vous saluez,,ils/elles saluent,,j’ai salué,,tu as salué,,il/elle a salué,,nous avons salué,,vous avez salué,,ils/elles ont salué,,je saluais,,tu saluais,,il/elle saluait,,nous saluions,,vous saluiez,,ils/elles saluaient,,j’avais salué,,tu avais salué,,il/elle avait salué,,nous avions salué,,vous aviez salué,,ils/elles avaient salué,,je saluai,,tu saluas,,il/elle salua,,nous saluâmes,,vous saluâtes,,ils/elles saluèrent,,j’eus salué,,tu eus salué,,il/elle eut salué,,nous eûmes salué,,vous eûtes salué,,ils/elles eurent salué,,je saluerai,,tu salueras,,il/elle saluera,,nous saluerons,,vous saluerez,,ils/elles salueront,,j’aurai salué,,tu auras salué,,il/elle aura salué,,nous aurons salué,,vous aurez salué,,ils/elles auront salué,,je saluerais,,tu saluerais,,il/elle saluerait,,nous saluerions,,vous salueriez,,ils/elles salueraient,,j’aurais salué,,tu aurais salué,,il/elle aurait salué,,nous aurions salué,,vous auriez salué,,ils/elles auraient salué,,que je salue,,que tu salues,,qu’il/elle salue,,que nous saluions,,que vous saluiez,,qu’ils/elles saluent,,que j’aie salué,,que tu aies salué,,qu’il/elle ait salué,,que nous ayons salué,,que vous ayez salué,,qu’ils/elles aient salué,,que je saluasse,,que tu saluasses,,qu’il/elle saluât,,que nous saluassions,,que vous saluassiez,,qu’ils/elles saluassent,,que j’eusse salué,,que tu eusses salué,,qu’il/elle eût salué,,que nous eussions salué,,que vous eussiez salué,,qu’ils/elles eussent salué,,salue,,saluons,,saluez,,aie salué,,ayons salué,,ayez salué,,saluer,,avoir salué,,saluant,,"salué(e, s, es)",,ayant salué,,,T_transitif_direct P_forme_pronominale
étudier,8,1er groupe,j’étudie,,tu étudies,,il/elle étudie,,nous étudions,,vous étudiez,,ils/elles étudient,,j’ai étudié,,tu as étudié,,il/elle a étudié,,nous avons étudié,,vous avez étudié,,ils/elles ont étudié,,j’étudiais,,tu étudiais,,il/elle étudiait,,nous étudiions,,vous étudiiez,,ils/elles étudiaient,,j’avais étudié,,tu avais étudié,,il/elle avait étudié,,nous avions étudié,,vous aviez étudié,,ils/elles avaient étudié,,j’étudiai,,tu étudias,,il/elle étudia,,nous étudiâmes,,vous étudiâtes,,ils/elles étudièrent,,j’eus étudié,,tu eus étudié,,il/elle eut étudié,,nous eûmes étudié,,vous eûtes étudié,,ils/elles eurent étudié,,j’étudierai,,tu étudieras,,il/elle étudiera,,nous étudierons,,vous étudierez,,ils/elles étudieront,,j’aurai étudié,,tu auras étudié,,il/elle aura étudié,,nous aurons étudié,,vous aurez étudié,,ils/elles auront étudié,,j’étudierais,,tu étudierais,,il/elle étudierait,,nous étudierions,,vous étudieriez,,ils/elles étudieraient,,j’aurais étudié,,tu aurais étudié,,il/elle aurait étudié,,nous aurions étudié,,vous auriez étudié,,ils/elles auraient étudié,,que j’étudie,,que tu étudies,,qu’il/elle étudie,,que nous étudiions,,que vous étudiiez,,qu’ils/elles étudient,,que j’aie étudié,,que tu aies étudié,,qu’il/elle ait étudié,,que nous ayons étudié,,que vous ayez étudié,,qu’ils/elles aient étudié,,que j’étudiasse,,que tu étudiasses,,qu’il/elle étudiât,,que nous étudiassions,,que vous étudiassiez,,qu’ils/elles étudiassent,,que j’eusse étudié,,que tu eusses étudié,,qu’il/elle eût étudié,,que nous eussions étudié,,que vous eussiez étudié,,qu’ils/elles eussent étudié,,étudie,,étudions,,étudiez,,aie étudié,,ayons étudié,,ayez étudié,,étudier,,avoir étudié,,étudiant,,"étudié(e, s, es)",,ayant étudié,,,T_transitif_direct P_forme_pronominale
briller,9,1er groupe,je brille,,tu brilles,,il/elle brille,,nous brillons,,vous brillez,,ils/elles brillent,,j’ai brillé,,tu as brillé,,il/elle a brillé,,nous avons brillé,,vous avez brillé,,ils/elles ont brillé,,je brillais,,tu brillais,,il/elle brillait,,nous brillions,,vous brilliez,,ils/elles brillaient,,j’avais brillé,,tu avais brillé,,il/elle avait brillé,,nous avions brillé,,vous aviez brillé,,ils/elles avaient brillé,,je brillai,,tu brillas,,il/elle brilla,,nous brillâmes,,vous brillâtes,,ils/elles brillèrent,,j’eus brillé,,tu eus brillé,,il/elle eut brillé,,nous eûmes brillé,,vous eûtes brillé,,ils/elles eurent brillé,,je brillerai,,tu brilleras,,il/elle brillera,,nous brillerons,,vous brillerez,,ils/elles brilleront,,j’aurai brillé,,tu auras brillé,,il/elle aura brillé,,nous aurons brillé,,vous aurez brillé,,ils/elles auront brillé,,je brillerais,,tu brillerais,,il/elle brillerait,,nous brillerions,,vous brilleriez,,ils/elles brilleraient,,j’aurais brillé,,tu aurais brillé,,il/elle aurait brillé,,nous aurions brillé,,vous auriez brillé,,ils/elles auraient brillé,,que je brille,,que tu brilles,,qu’il/elle brille,,que nous brillions,,que vous brilliez,,qu’ils/elles brillent,,que j’aie brillé,,que tu aies brillé,,qu’il/elle ait brillé,,que nous ayons brillé,,que vous ayez brillé,,qu’ils/elles aient brillé,,que je brillasse,,que tu brillasses,,qu’il/elle brillât,,que nous brillassions,,que vous brillassiez,,qu’ils/elles brillassent,,que j’eusse brillé,,que tu eusses brillé,,qu’il/elle eût brillé,,que nous eussions brillé,,que vous eussiez brillé,,qu’ils/elles eussent brillé,,brille,,brillons,,brillez,,aie brillé,,ayons brillé,,ayez brillé,,briller,,avoir brillé,,brillant,,brillé,,ayant brillé,,,I_intransitif
gagner,10,1er groupe verbes en -gner,je gagne,,tu gagnes,,il/elle gagne,,nous gagnons,,vous gagnez,,ils/elles gagnent,,j’ai gagné,,tu as gagné,,il/elle a gagné,,nous avons gagné,,vous avez gagné,,ils/elles ont gagné,,je gagnais,,tu gagnais,,il/elle gagnait,,nous gagnions,,vous gagniez,,ils/elles gagnaient,,j’avais gagné,,tu avais gagné,,il/elle avait gagné,,nous avions gagné,,vous aviez gagné,,ils/elles avaient gagné,,je gagnai,,tu gagnas,,il/elle gagna,,nous gagnâmes,,vous gagnâtes,,ils/elles gagnèrent,,j’eus gagné,,tu eus gagné,,il/elle eut gagné,,nous eûmes gagné,,vous eûtes gagné,,ils/elles eurent gagné,,je gagnerai,,tu gagneras,,il/elle gagnera,,nous gagnerons,,vous gagnerez,,ils/elles gagneront,,j’aurai gagné,,tu auras gagné,,il/elle aura gagné,,nous aurons gagné,,vous aurez gagné,,ils/elles auront gagné,,je gagnerais,,tu gagnerais,,il/elle gagnerait,,nous gagnerions,,vous gagneriez,,ils/elles gagneraient,,j’aurais gagné,,tu aurais gagné,,il/elle aurait gagné,,nous aurions gagné,,vous auriez gagné,,ils/elles auraient gagné,,que je gagne,,que tu gagnes,,qu’il/elle gagne,,que nous gagnions,,que vous gagniez,,qu’ils/elles gagnent,,que j’aie gagné,,que tu aies gagné,,qu’il/elle ait gagné,,que nous ayons gagné,,que vous ayez gagné,,qu’ils/elles aient gagné,,que je gagnasse,,que tu gagnasses,,qu’il/elle gagnât,,que nous gagnassions,,que vous gagnassiez,,qu’ils/elles gagnassent,,que j’eusse gagné,,que tu eusses gagné,,qu’il/elle eût gagné,,que nous eussions gagné,,que vous eussiez gagné,,qu’ils/elles eussent gagné,,gagne,,gagnons,,gagnez,,aie gagné,,ayons gagné,,ayez gagné,,gagner,,avoir gagné,,gagnant,,"gagné(e, s, es)",,ayant gagné,,,I_intransitif T_transitif_direct Ti_transitif_indirect P_forme_pronominale
